Kode Provinsi;Kode Kabupaten/Kot;Nama Kabupaten/Kot
10000;10100;Kab. Kepulauan Seribu
10000;16000;Kota Jakarta Pusat
10000;16100;Kota Jakarta Utara
10000;16200;Kota Jakarta Barat
10000;16300;Kota Jakarta Selatan
10000;16400;Kota Jakarta Timur
20000;20500;Kab. Bogor
50000;51900;Kab. Pasuruan
50000;52900;Kab. Bangkalan
50000;56000;Kota Surabaya
90000;91000;Kab. Rokan Hilir
90000;91100;Kab. Siak
100000;100600;Kab. Tebo
100000;100700;Kab. Muaro Jambi
100000;100800;Kab. Tanjung Jabung Timur
200000;200700;Kab. Bombana
200000;200800;Kab. Kolaka Utara
210000;210700;Kab. Kepulauan Aru
210000;210800;Kab. Maluku Barat Daya
320000;326000;Kota Sorong
330000;330100;Kab. Mamuju
330000;330200;Kab. Pasangkayu
350000;350400;Malaysia
350000;350500;Myanmar
350000;350600;Filipina
350000;350700;Rusia
350000;350800;Arab Saudi
50000;50700;Kab. Lamongan
50000;51400;Kab. Nganjuk
50000;51500;Kab. Blitar
90000;90400;Kab. Indragiri Hulu
90000;90500;Kab. Indragiri Hilir
100000;100200;Kab. Bungo
100000;100300;Kab. Sarolangun
200000;200300;Kab. Buton
200000;200400;Kab. Kolaka
210000;210200;Kab. Maluku Tenggara
300000;300200;Kab. Gorontalo
300000;300300;Kab. Pohuwato
300000;300400;Kab. Bone Bolango
320000;320700;Kab. Sorong
50000;50200;Kab. Sidoarjo
50000;50800;Kab. Madiun
80000;80400;Kab. Solok
90000;90800;Kab. Pelalawan
180000;181000;Kab. Sigi
190000;192400;Kab. Luwu Utara
190000;192600;Kab. Luwu Timur
270000;276100;Kota Tidore Kepulauan
280000;280100;Kab. Pandeglang
300000;300500;Kab. Gorontalo Utara
50000;50400;Kab. Jombang
50000;50500;Kab. Bojonegoro
50000;51000;Kab. Magetan
70000;72100;Kab. Serdang Bedagai
70000;72200;Kab. Batubara
70000;72300;Kab. Padang Lawas utara
80000;80700;Kab. Tanah Datar
170000;170200;Kab. Minahasa
180000;180300;Kab. Poso
180000;180400;Kab. Banggai
250000;253300;kab. Puncak
260000;260700;Kab. Kaur
260000;260800;Kab. Seluma
260000;260900;Kab. Bengkulu Tengah
40000;40100;Kab. Bantul
40000;40200;Kab. Sleman
40000;40300;Kab. Gunung Kidul
70000;72800;Kab. Nias Utara
70000;76000;Kota Medan
70000;76100;Kota Binjai
80000;86500;Kota Payakumbuh
80000;86600;Kota Pariaman
90000;90100;Kab. Kampar
180000;180500;Kab. Buol
180000;180600;Kab. Tolitoli
180000;180700;Kab. Morowali
190000;191400;Kab. Pinrang
250000;253400;Kab. Dogiyai
250000;253500;Kab. Deiyai
250000;253600;Kab. Intan Jaya
250000;256000;Kota Jayapura
260000;260100;Kab. Bengkulu Utara
60000;60100;Kab. Aceh Besar
60000;61500;Kab. Nagan Raya
60000;61600;Kab. Aceh Jaya
60000;61700;Kab. Aceh Barat Daya
200000;201400;Kab. Buton Selatan
200000;201600;Kab. Buton Tengah
200000;206000;Kota Kendari
240000;240700;Kab. Flores Timur
240000;240800;Kab. Sikka
70000;72400;Kab. Padang Lawas
110000;110100;Kab. Musi Banyuasin
30000;32800;Kab. Tegal
30000;32900;Kab. Brebes
50000;52200;Kab. Bondowoso
280000;286200;Kota Serang
280000;286300;Kota Tangerang Selatan
290000;290100;Kab. Bangka
